,Year,Country,Type,Sex,Pdf
2868,1997,AUSTRALIA,Unprovoked,M,1997.10.28.b-Sierakowski.pdf
2869,1997,AUSTRALIA,Unprovoked,M,1997.07.27-Davey.pdf
2870,1997,AUSTRALIA,Unprovoked,M,1997.02.28.a-Rauch.pdf
2871,1997,AUSTRALIA,Unprovoked,M,1997.01.25-Burrows.pdf
2872,1997,AUSTRALIA,Unprovoked,M,1997.01.20.a-Schonhofer.pdf
2873,1997,BAHAMAS,Unprovoked,M,1997.05.26-Wood.pdf
2874,1997,BAHAMAS,Unprovoked,M,1997.05.17-Gunn.pdf
2875,1997,BRAZIL,Unprovoked,M,1997.09.16-PedroFernandesDaSilva.pdf
2876,1997,BRAZIL,Unprovoked,M,1997.07.17.b-Albuquerque.pdf
2877,1997,BRAZIL,Unprovoked,M,1997.06.07-NV-Lipiani.pdf
2878,1997,BRAZIL,Unprovoked,M,1997.04.20-Leao.pdf
2879,1997,EGYPT,Unprovoked,M,1997.08.11.b-ElSayed.pdf
2880,1997,EGYPT,Unprovoked,M,1997.08.11.a-Hassan.pdf
2881,1997,FIJI,Unprovoked,F,1997.06.15-LizRogers.pdf
2882,1997,MEXICO,Unprovoked,M,1997.08.14.b-Joniatis.pdf
2883,1997,MEXICO,Unprovoked,M,1997.08.14.a- Lupold.pdf
2884,1997,OKINAWA,Unprovoked,M,1997.07.12-Nakachi.pdf
2885,1997,REUNION,Unprovoked,M,1997.02.20-Lebon.pdf
2886,1997,REUNION,Unprovoked,M,1997.01.03-Lonne.pdf
2887,1997,SOUTH AFRICA,Unprovoked,M,1997.12.28.b-Hill.pdf
2888,1997,SOUTH AFRICA,Unprovoked,M,1997.12.28.a-Buchanan.pdf
2889,1997,SOUTH AFRICA,Unprovoked,M,1997.07.21-Penches.pdf
2890,1997,USA,Unprovoked,F,1997.12.25.b-Olofsson.pdf
2891,1997,USA,Unprovoked,F,1997.10.04.b-Stalnaker.pdf
2892,1997,USA,Unprovoked,F,1997.08.11.c-NV-L.B.pdf
2893,1997,USA,Unprovoked,F,1997.08.05-Galveston.pdf
2894,1997,USA,Unprovoked,M,1997.12.25.a-Lussier.pdf
2895,1997,USA,Unprovoked,M,1997.11.05.R-Ogilvy.pdf
2896,1997,USA,Unprovoked,M,1997.10.28.a-Coots.pdf
2897,1997,USA,Unprovoked,M,1997.10.24-Morales.pdf
2898,1997,USA,Unprovoked,M,1997.10.21-McBee.pdf
2899,1997,USA,Unprovoked,M,1997.09.09-Dietlin.pdf
2900,1997,USA,Unprovoked,M,1997.09.06-Lange.pdf
2901,1997,USA,Unprovoked,M,1997.08.30-Hoyas.pdf
2902,1997,USA,Unprovoked,M,1997.08.27-Aleno.pdf
2903,1997,USA,Unprovoked,M,1997.08.24-Yerby_Collier.pdf
2904,1997,USA,Unprovoked,M,1997.08.10-NV-N.F.pdf
2905,1997,USA,Unprovoked,M,1997.08.09-NV-NewSmyrnaBeach.pdf
2906,1997,USA,Unprovoked,M,1997.08.04-Swenson.pdf
2907,1997,USA,Unprovoked,M,1997.08.02.b-Cesar.pdf
2908,1997,USA,Unprovoked,M,1997.08.02.a-Perny.pdf
2909,1997,USA,Unprovoked,M,1997.07.14-Cowden.pdf
2910,1997,USA,Unprovoked,M,1997.06.24-Molina.pdf
2911,1997,USA,Unprovoked,M,1997.06.09-Massey.pdf
2912,1997,USA,Unprovoked,M,1997.06.02-Amelio.pdf
2913,1997,USA,Unprovoked,M,1997.05.31.c-Medvec.pdf
2914,1997,USA,Unprovoked,M,1997.05.31.b-Fuller.pdf
2915,1997,USA,Unprovoked,M,1997.05.31.a-Bowden.pdf
2916,1997,USA,Unprovoked,M,1997.02.21-NV-Perreno.pdf
2917,1998,AUSTRALIA,Unprovoked,M,1998.01.28.R-spearfisherman.pdf
